kind	class	method	param	index	uri	field
METHOD	org.springframework.boot.SpringApplication	setWebApplicationType(org.springframework.boot.WebApplicationType)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/SpringApplication.java	webApplicationType
METHOD	org.springframework.boot.SpringApplication	setBannerMode(org.springframework.boot.Banner.Mode)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/SpringApplication.java	bannerMode
METHOD	org.springframework.boot.SpringApplication	setAdditionalProfiles(java.lang.String...)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/SpringApplication.java	additionalProfiles
METHOD	org.springframework.boot.SpringApplication	setSources(java.util.Set<java.lang.String>)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/SpringApplication.java	sources
METHOD	org.springframework.boot.SpringApplication	setApplicationContextFactory(org.springframework.boot.ApplicationContextFactory)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/SpringApplication.java	applicationContextFactory
METHOD	org.springframework.boot.SpringApplication	setApplicationStartup(org.springframework.core.metrics.ApplicationStartup)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/SpringApplication.java	applicationStartup
METHOD	org.springframework.boot.context.metrics.buffering.BufferingApplicationStartup	startRecording()	null	null	/Users/nima/Developer/NullAwayFixer/Projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/metrics/buffering/BufferingApplicationStartup.java	startTime
METHOD	org.springframework.boot.context.metrics.buffering.BufferingApplicationStartup	addFilter(java.util.function.Predicate<org.springframework.core.metrics.StartupStep>)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/metrics/buffering/BufferingApplicationStartup.java	filter
METHOD	org.springframework.boot.context.ApplicationPidFileWriter	setTriggerEventType(java.lang.Class<? extends org.springframework.boot.context.event.SpringApplicationEvent>)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/ApplicationPidFileWriter.java	triggerEventType
METHOD	org.springframework.boot.context.properties.source.SoftReferenceConfigurationPropertyCache	setValue(T)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/properties/source/SoftReferenceConfigurationPropertyCache.java	value
