kind	class	method	param	index	uri	reason	annotation	rootClass	rootMethod
METHOD	org.springframework.boot.system.ApplicationHome	getStartClass(java.util.Enumeration<java.net.URL>)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/system/ApplicationHome.java	RETURN_NULLABLE	nullable	org.springframework.boot.system.ApplicationHome	getStartClass(java.util.Enumeration<java.net.URL>)
METHOD	org.springframework.boot.system.ApplicationHome	findSource(java.lang.Class<?>)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/system/ApplicationHome.java	RETURN_NULLABLE	nullable	org.springframework.boot.system.ApplicationHome	findSource(java.lang.Class<?>)
FIELD	org.springframework.boot.system.ApplicationTemp	null	path	null	/Users/nima/Developer/NullAwayFixer/Projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/system/ApplicationTemp.java	METHOD_NO_INIT	nullable	org.springframework.boot.system.ApplicationTemp	null
PARAMETER	org.springframework.boot.system.ApplicationTemp	ApplicationTemp(java.lang.Class<?>)	sourceClass	0	/Users/nima/Developer/NullAwayFixer/Projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/system/ApplicationTemp.java	PASS_NULLABLE	nullable	org.springframework.boot.system.ApplicationTemp	ApplicationTemp()
METHOD	org.springframework.boot.system.SystemProperties	get(java.lang.String...)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/system/SystemProperties.java	RETURN_NULLABLE	nullable	org.springframework.boot.system.SystemProperties	get(java.lang.String...)
METHOD	org.springframework.boot.system.ApplicationPid	getPid()	null	null	/Users/nima/Developer/NullAwayFixer/Projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/system/ApplicationPid.java	RETURN_NULLABLE	nullable	org.springframework.boot.system.ApplicationPid	getPid()
PARAMETER	org.springframework.boot.json.JsonParseException	JsonParseException(java.lang.Throwable)	cause	0	/Users/nima/Developer/NullAwayFixer/Projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/json/JsonParseException.java	PASS_NULLABLE	nullable	org.springframework.boot.json.JsonParseException	JsonParseException()
FIELD	org.springframework.boot.json.JacksonJsonParser	null	objectMapper	null	/Users/nima/Developer/NullAwayFixer/Projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/json/JacksonJsonParser.java	METHOD_NO_INIT	nullable	org.springframework.boot.json.JacksonJsonParser	null
METHOD	org.springframework.boot.ApplicationEnvironment	doGetActiveProfilesProperty()	null	null	/Users/nima/Developer/NullAwayFixer/Projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/ApplicationEnvironment.java	RETURN_NULLABLE	nullable	org.springframework.boot.ApplicationEnvironment	doGetActiveProfilesProperty()
METHOD	org.springframework.boot.ApplicationEnvironment	doGetDefaultProfilesProperty()	null	null	/Users/nima/Developer/NullAwayFixer/Projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/ApplicationEnvironment.java	RETURN_NULLABLE	nullable	org.springframework.boot.ApplicationEnvironment	doGetDefaultProfilesProperty()
METHOD	org.springframework.boot.DefaultApplicationArguments	getOptionValues(java.lang.String)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/DefaultApplicationArguments.java	RETURN_NULLABLE	nullable	org.springframework.boot.DefaultApplicationArguments	getOptionValues(java.lang.String)
PARAMETER	org.springframework.boot.cloud.CloudFoundryVcapEnvironmentPostProcessor	flatten(java.util.Properties,java.util.Map<java.lang.String,java.lang.Object>,java.lang.String)	path	2	/Users/nima/Developer/NullAwayFixer/Projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/cloud/CloudFoundryVcapEnvironmentPostProcessor.java	PASS_NULLABLE	nullable	org.springframework.boot.cloud.CloudFoundryVcapEnvironmentPostProcessor	extractPropertiesFromServices(java.util.Properties,java.util.Map<java.lang.String,java.lang.Object>)
FIELD	org.springframework.boot.task.TaskSchedulerBuilder	null	poolSize	null	/Users/nima/Developer/NullAwayFixer/Projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/task/TaskSchedulerBuilder.java	ASSIGN_FIELD_NULLABLE	nullable	org.springframework.boot.task.TaskSchedulerBuilder	TaskSchedulerBuilder()
FIELD	org.springframework.boot.task.TaskSchedulerBuilder	null	awaitTermination	null	/Users/nima/Developer/NullAwayFixer/Projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/task/TaskSchedulerBuilder.java	ASSIGN_FIELD_NULLABLE	nullable	org.springframework.boot.task.TaskSchedulerBuilder	TaskSchedulerBuilder()
FIELD	org.springframework.boot.task.TaskSchedulerBuilder	null	awaitTerminationPeriod	null	/Users/nima/Developer/NullAwayFixer/Projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/task/TaskSchedulerBuilder.java	ASSIGN_FIELD_NULLABLE	nullable	org.springframework.boot.task.TaskSchedulerBuilder	TaskSchedulerBuilder()
FIELD	org.springframework.boot.task.TaskSchedulerBuilder	null	threadNamePrefix	null	/Users/nima/Developer/NullAwayFixer/Projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/task/TaskSchedulerBuilder.java	ASSIGN_FIELD_NULLABLE	nullable	org.springframework.boot.task.TaskSchedulerBuilder	TaskSchedulerBuilder()
FIELD	org.springframework.boot.task.TaskSchedulerBuilder	null	customizers	null	/Users/nima/Developer/NullAwayFixer/Projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/task/TaskSchedulerBuilder.java	ASSIGN_FIELD_NULLABLE	nullable	org.springframework.boot.task.TaskSchedulerBuilder	TaskSchedulerBuilder()
PARAMETER	org.springframework.boot.task.TaskSchedulerBuilder	<T>append(java.util.Set<T>,java.lang.Iterable<? extends T>)	set	0	/Users/nima/Developer/NullAwayFixer/Projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/task/TaskSchedulerBuilder.java	PASS_NULLABLE	nullable	org.springframework.boot.task.TaskSchedulerBuilder	customizers(java.lang.Iterable<org.springframework.boot.task.TaskSchedulerCustomizer>)
FIELD	org.springframework.boot.task.TaskExecutorBuilder	null	queueCapacity	null	/Users/nima/Developer/NullAwayFixer/Projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/task/TaskExecutorBuilder.java	ASSIGN_FIELD_NULLABLE	nullable	org.springframework.boot.task.TaskExecutorBuilder	TaskExecutorBuilder()
FIELD	org.springframework.boot.task.TaskExecutorBuilder	null	corePoolSize	null	/Users/nima/Developer/NullAwayFixer/Projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/task/TaskExecutorBuilder.java	ASSIGN_FIELD_NULLABLE	nullable	org.springframework.boot.task.TaskExecutorBuilder	TaskExecutorBuilder()
FIELD	org.springframework.boot.task.TaskExecutorBuilder	null	maxPoolSize	null	/Users/nima/Developer/NullAwayFixer/Projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/task/TaskExecutorBuilder.java	ASSIGN_FIELD_NULLABLE	nullable	org.springframework.boot.task.TaskExecutorBuilder	TaskExecutorBuilder()
FIELD	org.springframework.boot.task.TaskExecutorBuilder	null	allowCoreThreadTimeOut	null	/Users/nima/Developer/NullAwayFixer/Projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/task/TaskExecutorBuilder.java	ASSIGN_FIELD_NULLABLE	nullable	org.springframework.boot.task.TaskExecutorBuilder	TaskExecutorBuilder()
FIELD	org.springframework.boot.task.TaskExecutorBuilder	null	keepAlive	null	/Users/nima/Developer/NullAwayFixer/Projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/task/TaskExecutorBuilder.java	ASSIGN_FIELD_NULLABLE	nullable	org.springframework.boot.task.TaskExecutorBuilder	TaskExecutorBuilder()
FIELD	org.springframework.boot.task.TaskExecutorBuilder	null	awaitTermination	null	/Users/nima/Developer/NullAwayFixer/Projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/task/TaskExecutorBuilder.java	ASSIGN_FIELD_NULLABLE	nullable	org.springframework.boot.task.TaskExecutorBuilder	TaskExecutorBuilder()
FIELD	org.springframework.boot.task.TaskExecutorBuilder	null	awaitTerminationPeriod	null	/Users/nima/Developer/NullAwayFixer/Projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/task/TaskExecutorBuilder.java	ASSIGN_FIELD_NULLABLE	nullable	org.springframework.boot.task.TaskExecutorBuilder	TaskExecutorBuilder()
FIELD	org.springframework.boot.task.TaskExecutorBuilder	null	threadNamePrefix	null	/Users/nima/Developer/NullAwayFixer/Projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/task/TaskExecutorBuilder.java	ASSIGN_FIELD_NULLABLE	nullable	org.springframework.boot.task.TaskExecutorBuilder	TaskExecutorBuilder()
FIELD	org.springframework.boot.task.TaskExecutorBuilder	null	taskDecorator	null	/Users/nima/Developer/NullAwayFixer/Projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/task/TaskExecutorBuilder.java	ASSIGN_FIELD_NULLABLE	nullable	org.springframework.boot.task.TaskExecutorBuilder	TaskExecutorBuilder()
FIELD	org.springframework.boot.task.TaskExecutorBuilder	null	customizers	null	/Users/nima/Developer/NullAwayFixer/Projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/task/TaskExecutorBuilder.java	ASSIGN_FIELD_NULLABLE	nullable	org.springframework.boot.task.TaskExecutorBuilder	TaskExecutorBuilder()
