kind	class	method	param	index	uri	reason	annotation	rootClass	rootMethod
FIELD	org.springframework.boot.web.embedded.netty.SslServerCustomizer	null	ssl	null	/home/nima/Desktop/docker/benchmarks/springboot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/web/embedded/netty/SslServerCustomizer.java	ASSIGN_FIELD_NULLABLE	nullable	org.springframework.boot.web.embedded.netty.SslServerCustomizer	SslServerCustomizer(org.springframework.boot.web.server.Ssl,org.springframework.boot.web.server.Http2,org.springframework.boot.web.server.SslStoreProvider)
METHOD	org.springframework.boot.context.properties.source.MutuallyExclusiveConfigurationPropertiesException	asSet(java.util.Collection<java.lang.String>)	null	null	/home/nima/Desktop/docker/benchmarks/springboot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/properties/source/MutuallyExclusiveConfigurationPropertiesException.java	RETURN_NULLABLE	nullable	org.springframework.boot.context.properties.source.MutuallyExclusiveConfigurationPropertiesException	asSet(java.util.Collection<java.lang.String>)
METHOD	org.springframework.boot.context.properties.bind.BindException	getProperty()	null	null	/home/nima/Desktop/docker/benchmarks/springboot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/properties/bind/BindException.java	RETURN_NULLABLE	nullable	org.springframework.boot.context.properties.bind.BindException	getProperty()
PARAMETER	org.springframework.boot.context.properties.source.ConfigurationProperty	ConfigurationProperty(org.springframework.boot.context.properties.source.ConfigurationPropertyName,java.lang.Object,org.springframework.boot.origin.Origin)	origin	2	/home/nima/Desktop/docker/benchmarks/springboot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/properties/source/ConfigurationProperty.java	PASS_NULLABLE	nullable	org.springframework.boot.context.properties.source.ConfigurationProperty	of(org.springframework.boot.context.properties.source.ConfigurationPropertyName,org.springframework.boot.origin.OriginTrackedValue)
PARAMETER	org.springframework.boot.context.properties.source.ConfigurationProperty	ConfigurationProperty(org.springframework.boot.context.properties.source.ConfigurationPropertySource,org.springframework.boot.context.properties.source.ConfigurationPropertyName,java.lang.Object,org.springframework.boot.origin.Origin)	name	1	/home/nima/Desktop/docker/benchmarks/springboot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/properties/source/ConfigurationProperty.java	PASS_NULLABLE	nullable	org.springframework.boot.context.properties.source.ConfigurationProperty	of(org.springframework.boot.context.properties.source.ConfigurationPropertySource,org.springframework.boot.context.properties.source.ConfigurationPropertyName,java.lang.Object,org.springframework.boot.origin.Origin)
METHOD	org.springframework.boot.context.properties.source.ConfigurationPropertyName	of(java.lang.CharSequence,boolean)	null	null	/home/nima/Desktop/docker/benchmarks/springboot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/properties/source/ConfigurationPropertyName.java	RETURN_NULLABLE	nullable	org.springframework.boot.context.properties.source.ConfigurationPropertyName	of(java.lang.CharSequence,boolean)
FIELD	org.springframework.boot.SpringApplication	null	mainApplicationClass	null	/home/nima/Desktop/docker/benchmarks/springboot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/SpringApplication.java	METHOD_NO_INIT	nullable	org.springframework.boot.SpringApplication	null
FIELD	org.springframework.boot.SpringApplication	null	initializers	null	/home/nima/Desktop/docker/benchmarks/springboot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/SpringApplication.java	METHOD_NO_INIT	nullable	org.springframework.boot.SpringApplication	null
FIELD	org.springframework.boot.SpringApplication	null	listeners	null	/home/nima/Desktop/docker/benchmarks/springboot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/SpringApplication.java	METHOD_NO_INIT	nullable	org.springframework.boot.SpringApplication	null
FIELD	org.springframework.boot.SpringApplication	null	mainApplicationClass	null	/home/nima/Desktop/docker/benchmarks/springboot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/SpringApplication.java	ASSIGN_FIELD_NULLABLE	nullable	org.springframework.boot.SpringApplication	SpringApplication(org.springframework.core.io.ResourceLoader,java.lang.Class<?>...)
METHOD	org.springframework.boot.BootstrapContext	<T>get(java.lang.Class<T>)	null	null	/home/nima/Desktop/docker/benchmarks/springboot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/BootstrapContext.java	WRONG_OVERRIDE_RETURN	nullable	org.springframework.boot.DefaultBootstrapContext	<T>get(java.lang.Class<T>)
METHOD	org.springframework.boot.BootstrapContext	<T>getOrElse(java.lang.Class<T>,T)	null	null	/home/nima/Desktop/docker/benchmarks/springboot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/BootstrapContext.java	WRONG_OVERRIDE_RETURN	nullable	org.springframework.boot.DefaultBootstrapContext	<T>getOrElse(java.lang.Class<T>,T)
METHOD	org.springframework.boot.context.properties.bind.BindConverter	<T>convert(java.lang.Object,org.springframework.core.ResolvableType,java.lang.annotation.Annotation...)	null	null	/home/nima/Desktop/docker/benchmarks/springboot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/properties/bind/BindConverter.java	RETURN_NULLABLE	nullable	org.springframework.boot.context.properties.bind.BindConverter	<T>convert(java.lang.Object,org.springframework.core.ResolvableType,java.lang.annotation.Annotation...)
METHOD	org.springframework.boot.context.properties.bind.BindResult	orElse(T)	null	null	/home/nima/Desktop/docker/benchmarks/springboot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/properties/bind/BindResult.java	RETURN_NULLABLE	nullable	org.springframework.boot.context.properties.bind.BindResult	orElse(T)
FIELD	org.springframework.boot.admin.SpringApplicationAdminMXBeanRegistrar	null	applicationContext	null	/home/nima/Desktop/docker/benchmarks/springboot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/admin/SpringApplicationAdminMXBeanRegistrar.java	METHOD_NO_INIT	nullable	org.springframework.boot.admin.SpringApplicationAdminMXBeanRegistrar	null
METHOD	org.springframework.boot.origin.OriginTrackedResource	getOrigin()	null	null	/home/nima/Desktop/docker/benchmarks/springboot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/origin/OriginTrackedResource.java	RETURN_NULLABLE	nullable	org.springframework.boot.origin.OriginTrackedResource	getOrigin()
PARAMETER	org.springframework.boot.context.event.EventPublishingRunListener	failed(org.springframework.context.ConfigurableApplicationContext,java.lang.Throwable)	context	0	/home/nima/Desktop/docker/benchmarks/springboot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/event/EventPublishingRunListener.java	WRONG_OVERRIDE_PARAM	nullable	org.springframework.boot.context.event.EventPublishingRunListener	failed(org.springframework.context.ConfigurableApplicationContext,java.lang.Throwable)
METHOD	org.springframework.boot.context.properties.ConfigurationPropertiesBean	create(java.lang.String,java.lang.Object,java.lang.Class<?>,java.lang.reflect.Method)	null	null	/home/nima/Desktop/docker/benchmarks/springboot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/properties/ConfigurationPropertiesBean.java	RETURN_NULLABLE	nullable	org.springframework.boot.context.properties.ConfigurationPropertiesBean	create(java.lang.String,java.lang.Object,java.lang.Class<?>,java.lang.reflect.Method)
PARAMETER	org.springframework.boot.context.properties.ConfigurationPropertiesBinder	ConfigurationPropertiesBinder(org.springframework.context.ApplicationContext)	applicationContext	0	/home/nima/Desktop/docker/benchmarks/springboot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/properties/ConfigurationPropertiesBinder.java	PASS_NULLABLE	nullable	org.springframework.boot.context.properties.ConfigurationPropertiesBinder$Factory	create()
PARAMETER	org.springframework.boot.context.properties.bind.PropertySourcesPlaceholdersResolver	PropertySourcesPlaceholdersResolver(java.lang.Iterable<org.springframework.core.env.PropertySource<?>>,org.springframework.util.PropertyPlaceholderHelper)	sources	0	/home/nima/Desktop/docker/benchmarks/springboot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/properties/bind/PropertySourcesPlaceholdersResolver.java	PASS_NULLABLE	nullable	org.springframework.boot.context.properties.bind.PropertySourcesPlaceholdersResolver	PropertySourcesPlaceholdersResolver(java.lang.Iterable<org.springframework.core.env.PropertySource<?>>)
PARAMETER	org.springframework.boot.context.properties.source.ConfigurationPropertyName	append(org.springframework.boot.context.properties.source.ConfigurationPropertyName)	suffix	0	/home/nima/Desktop/docker/benchmarks/springboot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/properties/source/ConfigurationPropertyName.java	PASS_NULLABLE	nullable	org.springframework.boot.context.properties.source.PrefixedConfigurationPropertySource	getPrefixedName(org.springframework.boot.context.properties.source.ConfigurationPropertyName)
